;file_name,rss_kb,price_max,time_microseconds
input01.in,58044,31621,2972
input02.in,57852,67829,9061
input03.in,57900,143449,20615
input04.in,58084,28840,20865
input05.in,58092,15785,20855
input06.in,58096,99861,210295
input07.in,58088,1940,5982
input08.in,58096,741,4088
input09.in,58088,10281,94781
input10.in,58096,20149,38755
input11.in,58096,30001,60218
input12.in,1951800,49885,12321028
input13.in,968084,49398,5844928
input14.in,488216,20880,2932094
input15.in,58100,20676,39615
input16.in,58100,46281,39533
